PM2.5,PM10,NO2,SO2,CO,O3,AQI,Category
63.9,121.1,54.6,7.1,1.37,51.4,112.1,Moderate
31.2,48.5,18.9,0.0,0.69,13.2,52.3,Satisfactory
0.0,25.1,19.5,0.0,0.0,16.1,22.3,Good
75.7,139.2,18.9,18.3,0.49,39.1,149.6,Moderate
48.3,68.4,30.5,6.4,0.12,18.3,82.7,Satisfactory
136.1,236.7,74.6,44.6,3.55,137.0,315.1,Very Poor
93.9,158.9,31.7,26.7,1.15,43.9,210.9,Poor
54.1,114.9,33.4,1.8,0.0,18.6,114.2,Moderate
24.7,57.8,23.1,0.1,1.05,2.3,62.0,Satisfactory
120.9,190.8,76.8,26.2,3.22,109.5,294.0,Poor
25.5,65.6,13.6,3.1,0.16,0.0,61.7,Satisfactory
29.3,64.3,8.2,20.1,1.03,70.1,74.1,Satisfactory
13.4,56.5,29.2,7.7,0.46,43.9,58.2,Satisfactory
27.8,39.1,34.9,8.8,1.72,65.9,86.0,Satisfactory
72.7,168.5,27.5,11.9,1.27,27.9,145.9,Moderate
46.5,89.8,17.6,22.7,1.19,64.4,92.5,Satisfactory
99.8,177.2,41.7,44.0,1.29,48.0,233.6,Poor
96.1,154.6,41.7,11.1,1.1,50.0,221.9,Poor
65.0,77.2,37.4,7.8,0.31,51.0,115.1,Moderate
52.6,76.9,42.2,22.2,0.84,4.4,91.3,Satisfactory
64.7,95.1,63.1,31.6,1.76,70.6,116.7,Moderate
41.2,74.4,43.3,22.2,1.19,57.3,74.1,Satisfactory
0.0,0.0,0.0,1.2,0.06,0.0,5.2,Good
55.6,82.3,25.0,13.5,0.63,36.8,92.5,Satisfactory
25.2,54.2,26.5,33.0,1.01,27.8,53.4,Satisfactory
0.0,2.1,0.0,6.9,0.51,0.0,25.1,Good
29.3,39.8,3.9,0.0,0.45,61.2,58.9,Satisfactory
67.1,93.5,0.0,8.7,1.25,29.1,121.1,Moderate
50.8,85.8,34.8,10.0,1.21,64.7,78.0,Satisfactory
76.5,163.0,99.2,43.6,2.24,91.6,159.9,Moderate
61.1,113.5,24.0,11.1,0.32,36.7,106.6,Moderate
92.9,153.0,82.8,39.1,2.14,58.9,210.4,Poor
51.6,100.1,67.4,13.9,2.38,83.0,104.5,Moderate
138.0,221.1,90.2,44.2,3.53,102.6,313.8,Very Poor
161.3,257.6,84.9,58.8,2.3,107.0,332.5,Very Poor
51.4,88.6,47.2,29.4,0.41,37.2,90.6,Satisfactory
108.3,219.0,62.1,16.7,1.66,94.2,260.5,Poor
18.2,54.7,16.5,0.9,0.0,0.0,57.0,Satisfactory
81.5,155.3,18.1,8.2,0.61,49.1,174.4,Moderate
4.1,23.9,12.3,0.0,0.33,10.5,23.8,Good
26.0,39.9,21.5,7.2,1.5,17.8,79.3,Satisfactory
54.1,75.8,29.4,10.0,0.0,6.1,92.6,Satisfactory
118.4,226.0,77.2,47.5,1.27,25.0,288.3,Poor
17.1,12.4,14.7,0.0,0.0,9.1,29.1,Good
34.0,52.4,16.2,26.1,0.96,47.2,54.0,Satisfactory
17.6,41.4,0.0,9.5,2.0,28.9,108.2,Moderate
29.4,43.4,17.2,23.8,1.27,3.5,64.5,Satisfactory
79.2,118.5,42.0,29.6,1.77,66.6,164.4,Moderate
74.5,122.5,36.8,23.5,1.93,68.0,146.5,Moderate
29.2,73.3,7.3,8.3,1.02,3.6,74.5,Satisfactory
76.6,106.8,42.2,27.1,2.11,46.3,151.3,Moderate
19.1,21.3,23.5,20.2,1.05,27.3,53.0,Satisfactory
20.1,61.8,24.1,30.8,0.11,13.3,57.8,Satisfactory
114.7,175.0,33.3,15.5,1.39,63.7,285.0,Poor
51.0,63.2,14.3,5.1,1.35,0.0,89.9,Satisfactory
42.2,59.2,28.8,11.0,0.9,0.0,68.7,Satisfactory
0.0,18.4,6.2,14.5,0.63,0.0,29.6,Good
148.0,201.5,107.4,36.2,2.7,94.3,320.6,Very Poor
17.1,29.9,0.0,0.0,0.0,13.4,32.7,Good
51.2,71.2,60.3,4.0,1.38,20.6,82.7,Satisfactory
117.1,199.9,73.8,34.1,2.18,107.8,289.7,Poor
76.4,117.1,45.5,31.6,1.28,78.4,152.5,Moderate
54.6,89.5,4.3,19.7,0.0,1.6,89.4,Satisfactory
0.0,0.0,10.5,0.0,0.7,33.4,34.9,Good
136.6,169.3,81.7,54.0,2.43,95.3,319.6,Very Poor
18.2,33.7,29.1,0.0,0.0,5.6,35.6,Good
32.2,59.2,52.0,6.1,0.4,0.0,64.2,Satisfactory
40.3,91.7,30.2,0.4,0.98,0.0,93.8,Satisfactory
56.5,103.3,36.5,18.4,0.41,0.0,103.2,Moderate
34.0,41.1,23.5,5.6,0.0,0.0,53.2,Satisfactory
65.9,97.3,14.8,4.2,0.24,38.3,118.1,Moderate
43.9,87.4,46.7,8.2,1.37,28.7,87.7,Satisfactory
74.7,110.5,35.8,9.5,1.88,9.1,153.4,Moderate
40.2,81.1,74.4,7.2,0.76,55.2,93.5,Satisfactory
49.8,82.3,19.0,10.4,0.27,0.0,80.3,Satisfactory
51.5,87.6,11.0,11.7,0.91,26.2,87.9,Satisfactory
38.2,35.1,30.5,27.7,0.7,11.6,63.4,Satisfactory
89.8,135.3,69.4,24.5,1.92,57.1,199.6,Moderate
70.8,134.8,65.8,35.2,1.84,42.2,141.0,Moderate
55.0,87.6,36.3,12.0,0.21,41.1,93.3,Satisfactory
32.5,77.1,13.0,1.4,0.27,0.0,76.6,Satisfactory
79.5,155.3,74.8,23.4,1.8,80.9,172.0,Moderate
80.9,147.5,47.2,34.4,2.17,85.3,170.0,Moderate
59.8,90.2,33.0,10.2,1.12,52.2,100.9,Moderate
115.3,163.5,56.6,59.1,2.9,122.1,281.0,Poor
84.7,149.0,54.4,22.0,1.37,24.7,184.2,Moderate
83.2,113.7,43.0,17.5,1.42,66.3,178.7,Moderate
31.2,21.2,14.1,0.0,1.1,0.0,53.9,Satisfactory
28.1,26.7,28.2,14.3,0.53,27.6,46.1,Good
46.6,93.5,36.6,27.9,0.28,25.5,98.8,Satisfactory
36.9,61.1,0.0,27.3,0.48,41.6,60.7,Satisfactory
64.1,83.1,25.8,8.8,0.37,58.9,118.2,Moderate
101.7,177.8,48.3,19.2,0.65,86.1,236.9,Poor
94.1,183.0,42.8,44.6,1.58,71.0,211.8,Poor
59.4,103.8,30.4,13.3,2.16,52.7,101.5,Moderate
4.9,17.0,33.8,0.0,0.0,0.0,47.0,Good
117.9,207.0,81.2,28.7,1.99,62.9,292.1,Poor
49.9,118.3,15.3,8.2,0.89,22.5,108.9,Moderate
102.0,140.8,43.2,40.5,1.0,70.2,240.8,Poor
52.8,95.6,1.9,13.1,0.55,0.0,93.1,Satisfactory
40.8,60.6,4.3,1.6,0.0,0.0,71.4,Satisfactory
12.3,13.4,14.0,0.0,0.23,8.1,19.2,Good
118.1,155.0,39.9,18.4,2.08,32.0,291.2,Poor
19.5,46.6,14.9,27.3,0.48,0.8,45.8,Good
55.3,119.0,70.2,21.9,1.09,64.0,110.1,Moderate
120.0,238.8,85.5,45.5,2.59,126.1,297.9,Poor
34.1,66.7,42.4,14.6,1.81,67.8,90.0,Satisfactory
43.1,110.5,0.5,12.2,1.32,27.7,102.6,Moderate
128.7,226.2,95.4,51.7,2.11,95.9,309.0,Very Poor
58.6,58.7,32.6,7.2,0.84,65.5,94.7,Satisfactory
3.0,0.0,37.8,22.4,0.0,21.9,54.2,Satisfactory
78.6,172.9,64.0,33.2,1.83,58.6,162.5,Moderate
6.2,0.0,7.8,0.0,0.11,11.7,12.9,Good
50.7,106.2,35.6,15.5,1.0,58.7,107.8,Moderate
44.7,65.6,20.3,19.4,0.05,8.6,74.5,Satisfactory
63.1,132.1,48.5,10.9,1.68,46.6,116.9,Moderate
52.7,73.8,72.4,26.4,1.67,88.7,85.9,Satisfactory
40.4,77.8,15.7,15.4,1.66,52.2,81.7,Satisfactory
15.2,9.4,23.1,27.2,0.03,64.8,64.1,Satisfactory
58.2,67.1,18.3,0.0,0.73,7.9,97.6,Satisfactory
54.3,69.7,55.8,32.8,0.98,63.7,80.4,Satisfactory
27.3,56.3,29.6,1.2,0.0,18.3,52.3,Satisfactory
28.8,26.2,1.0,15.6,1.27,2.6,64.9,Satisfactory
40.4,101.3,57.0,31.1,0.49,107.0,108.6,Moderate
59.3,129.1,53.9,36.0,1.58,44.2,123.8,Moderate
112.4,187.6,79.4,48.3,1.47,48.8,269.1,Poor
176.9,335.6,105.0,36.6,3.41,96.0,340.2,Very Poor
8.6,0.0,21.4,3.1,0.03,3.3,32.9,Good
22.5,3.0,4.2,7.0,1.28,35.6,61.4,Satisfactory
78.0,143.3,70.7,14.4,0.36,36.8,150.1,Moderate
84.2,171.4,14.1,18.5,0.93,47.4,184.4,Moderate
0.0,0.0,24.4,14.0,0.41,58.6,57.2,Satisfactory
0.0,7.4,0.0,2.0,1.31,6.9,62.9,Satisfactory
28.8,59.2,17.6,19.8,1.31,59.4,63.2,Satisfactory
29.9,61.9,3.8,8.8,0.44,0.0,64.8,Satisfactory
23.3,42.4,44.5,0.0,0.66,42.2,55.7,Satisfactory
147.3,190.1,112.8,49.3,3.32,127.5,320.9,Very Poor
52.3,70.8,18.7,0.0,0.73,29.2,86.4,Satisfactory
88.6,166.1,25.0,22.6,2.71,72.5,196.3,Moderate
130.9,226.3,87.4,56.8,2.66,77.1,309.7,Very Poor
25.9,46.6,46.9,18.8,1.16,44.5,58.9,Satisfactory
15.3,34.6,13.7,0.0,0.94,12.1,47.2,Good
101.9,215.3,97.4,49.6,2.23,94.5,240.3,Poor
24.4,25.8,0.0,1.1,1.26,23.8,63.4,Satisfactory
81.7,123.0,40.9,22.8,0.41,55.0,171.1,Moderate
39.5,62.9,43.8,8.8,0.82,45.1,67.5,Satisfactory
149.7,282.8,81.7,40.5,2.65,115.0,322.4,Very Poor
129.4,211.1,98.0,45.8,3.14,110.0,302.1,Very Poor
124.8,165.1,88.6,49.1,2.31,111.5,301.8,Very Poor
49.2,64.2,17.0,5.0,1.72,54.2,80.6,Satisfactory
116.7,193.7,105.4,52.3,2.88,137.1,290.4,Poor
42.3,87.4,61.5,19.4,1.81,74.5,86.5,Satisfactory
15.6,33.1,24.1,5.7,0.47,42.7,44.1,Good
112.5,227.3,71.3,26.5,0.65,31.0,277.2,Poor
120.6,185.0,89.7,42.3,2.59,92.7,300.4,Very Poor
35.6,42.4,41.8,12.7,1.35,65.8,70.2,Satisfactory
142.7,251.0,102.8,50.1,2.46,127.9,317.7,Very Poor
29.3,41.3,14.5,16.0,0.8,22.1,50.7,Satisfactory
157.4,278.0,71.3,57.0,2.38,96.2,323.4,Very Poor
29.0,42.5,16.7,19.9,1.2,22.0,59.6,Satisfactory
0.5,0.0,16.0,1.0,0.24,0.0,23.4,Good
59.8,128.2,46.6,7.1,3.13,62.0,121.9,Moderate
53.2,89.8,36.8,24.6,0.45,64.2,92.3,Satisfactory
43.7,76.9,0.0,6.9,1.58,0.0,78.6,Satisfactory
80.8,154.2,28.0,6.5,0.8,29.4,169.8,Moderate
67.9,100.0,29.2,10.7,1.22,31.8,132.1,Moderate
17.9,40.4,16.1,5.4,0.11,2.2,41.2,Good
40.1,89.7,29.5,12.0,0.85,89.0,90.6,Satisfactory
54.9,125.4,23.6,24.6,0.67,15.8,118.1,Moderate
70.7,81.1,30.5,54.2,0.73,65.2,139.1,Moderate
62.7,140.5,41.7,16.1,0.96,28.9,124.3,Moderate
96.3,140.4,38.7,24.5,1.49,64.3,221.1,Poor
96.9,118.9,39.3,38.4,1.33,39.7,221.7,Poor
20.2,29.9,25.9,17.5,0.77,33.9,36.4,Good
14.0,6.2,8.8,12.8,0.43,41.2,37.8,Good
0.0,4.6,13.4,13.4,0.25,26.0,23.1,Good
44.7,60.9,70.3,26.4,0.89,42.4,88.0,Satisfactory
0.0,0.0,14.9,5.9,0.11,19.0,22.2,Good
139.9,211.3,84.6,42.0,2.02,101.6,309.1,Very Poor
52.9,75.5,51.8,14.4,1.12,25.2,88.8,Satisfactory
31.0,69.7,23.6,2.3,0.12,0.0,71.3,Satisfactory
60.5,110.0,26.5,36.4,0.66,58.2,106.0,Moderate
130.6,190.7,88.2,21.7,3.01,98.9,301.7,Very Poor
46.6,68.6,33.2,25.8,0.79,50.1,79.7,Satisfactory
16.3,42.0,5.2,20.0,1.77,30.7,87.8,Satisfactory
42.9,89.4,23.2,8.6,0.37,22.4,88.4,Satisfactory
68.2,95.0,54.2,31.9,1.88,63.8,126.8,Moderate
31.4,73.1,8.1,0.0,0.13,0.0,71.1,Satisfactory
78.7,124.1,63.6,29.1,2.21,76.5,159.2,Moderate
78.5,121.9,44.1,16.2,0.93,68.2,166.3,Moderate
123.8,255.2,86.5,31.1,3.01,88.1,303.0,Very Poor
158.1,201.0,75.4,38.9,0.82,151.8,331.0,Very Poor
26.7,48.9,0.0,12.6,1.73,12.3,86.5,Satisfactory
136.2,186.0,121.0,50.3,2.7,120.1,311.2,Very Poor
68.0,104.6,13.5,11.2,0.71,58.9,128.7,Moderate
31.1,29.3,29.7,21.9,0.79,24.3,53.3,Satisfactory
40.3,84.8,39.4,1.1,1.17,42.5,86.6,Satisfactory
77.8,114.8,66.0,21.3,1.96,83.8,160.6,Moderate
75.4,109.7,41.2,15.8,1.48,21.8,147.9,Moderate
41.8,85.1,22.9,13.3,0.85,28.9,84.5,Satisfactory
9.9,31.7,14.9,28.6,0.44,4.0,43.7,Good
100.9,194.9,60.0,15.0,1.74,38.5,235.8,Poor
63.5,127.3,56.3,19.9,1.43,83.4,121.4,Moderate
51.0,66.8,17.1,24.5,1.45,16.5,85.9,Satisfactory
114.7,210.7,38.3,24.1,1.58,67.1,285.0,Poor
129.1,228.8,68.3,22.1,2.73,114.8,307.9,Very Poor
112.8,203.8,98.7,31.4,1.91,110.0,281.4,Poor
61.0,101.8,21.2,6.3,0.0,37.0,101.3,Moderate
43.9,32.0,44.3,19.2,0.7,46.3,70.3,Satisfactory
153.0,213.9,41.6,39.5,2.63,106.1,329.8,Very Poor
109.5,139.6,59.3,59.1,2.52,101.2,264.9,Poor
78.7,149.7,45.0,20.4,1.36,35.0,162.6,Moderate
33.7,72.8,0.0,0.0,0.0,0.0,73.9,Satisfactory
12.7,13.4,23.6,21.1,0.13,29.7,29.0,Good
60.5,89.9,14.7,8.8,0.73,49.4,100.4,Moderate
48.7,84.3,16.5,4.7,0.03,36.4,82.6,Satisfactory
61.3,117.3,13.9,11.6,0.23,8.0,116.2,Moderate
49.8,100.3,45.4,25.5,1.17,12.4,101.1,Moderate
55.4,99.3,41.1,0.0,1.24,36.9,101.6,Moderate
65.4,107.9,52.3,19.5,2.39,62.6,115.4,Moderate
117.7,180.0,115.7,47.1,2.87,108.1,292.3,Poor
146.8,240.3,81.5,46.0,2.24,134.3,318.1,Very Poor
11.5,27.3,7.3,19.9,0.0,18.4,25.0,Good
72.2,99.9,16.5,15.1,0.24,21.7,140.3,Moderate
114.3,193.1,46.2,41.4,1.78,52.1,282.4,Poor
13.9,15.2,26.0,16.9,1.28,23.4,63.2,Satisfactory
94.7,162.1,49.5,18.8,1.83,34.0,218.0,Poor
90.4,160.7,65.1,19.9,1.27,47.4,202.9,Poor
58.0,88.7,49.2,26.2,2.0,97.2,95.0,Satisfactory
12.8,3.4,18.4,3.2,0.0,72.5,73.3,Satisfactory
20.2,21.6,15.9,4.4,0.0,0.0,36.1,Good
31.5,88.3,26.7,24.9,1.67,61.0,85.1,Satisfactory
16.7,37.4,24.3,16.0,1.2,8.4,56.1,Satisfactory
70.6,139.2,44.8,32.9,1.91,68.8,135.2,Moderate
23.5,31.5,44.5,13.0,0.58,17.2,57.5,Satisfactory
55.9,108.8,46.7,45.5,2.12,34.2,105.7,Moderate
49.3,81.5,16.2,6.2,0.66,32.3,82.1,Satisfactory
45.9,47.0,0.0,11.1,1.3,13.8,78.6,Satisfactory
65.1,62.8,26.2,13.9,0.0,73.5,117.9,Moderate
52.7,55.3,17.5,44.0,1.73,78.2,88.7,Satisfactory
143.5,252.0,78.9,43.5,2.78,112.2,313.6,Very Poor
100.8,185.2,47.4,31.8,1.01,35.5,233.6,Poor
73.5,117.1,79.7,30.0,0.35,86.1,140.6,Moderate
0.0,11.7,44.1,20.4,0.0,12.5,55.9,Satisfactory
35.3,47.7,11.9,18.3,0.57,0.0,60.7,Satisfactory
140.8,187.8,125.9,40.4,3.04,95.1,315.7,Very Poor
78.6,124.6,60.8,6.7,1.78,87.8,160.4,Moderate
54.6,88.2,58.2,10.2,0.41,11.7,91.6,Satisfactory
87.6,137.5,52.6,17.0,1.32,16.4,192.7,Moderate
47.3,95.4,10.3,6.5,0.0,3.3,95.5,Satisfactory
27.3,53.9,29.7,21.5,1.29,48.9,58.2,Satisfactory
107.7,159.4,38.6,6.5,1.19,54.2,258.1,Poor
22.8,19.1,36.2,20.8,2.03,57.5,101.1,Moderate
0.7,15.1,8.3,11.6,0.22,10.9,14.7,Good
25.3,50.2,34.2,4.5,0.88,16.8,54.3,Satisfactory
9.0,27.4,0.0,0.0,1.16,25.9,58.2,Satisfactory
118.9,190.0,75.6,51.9,2.2,97.1,298.5,Poor
67.9,113.0,54.4,17.5,2.25,17.0,123.8,Moderate
31.8,61.1,28.5,29.7,1.61,43.7,81.6,Satisfactory
112.3,166.3,37.2,16.9,0.39,53.7,278.7,Poor
60.8,129.8,30.2,19.1,1.02,32.6,117.3,Moderate
155.7,236.4,99.1,41.0,3.33,102.9,332.0,Very Poor
26.7,42.6,8.9,0.0,0.25,0.0,46.2,Good
37.4,99.4,13.4,21.6,0.62,33.4,98.2,Satisfactory
25.7,28.0,36.3,1.9,0.26,58.9,55.3,Satisfactory
21.1,22.6,23.4,11.8,0.68,39.6,37.4,Good
47.5,66.7,18.7,12.4,0.0,0.0,82.3,Satisfactory
9.5,25.9,25.3,6.3,0.0,49.9,48.4,Good
123.9,248.6,63.1,52.3,3.01,107.3,305.4,Very Poor
20.1,61.7,11.0,11.4,1.8,28.8,90.0,Satisfactory
46.6,67.9,32.6,6.7,1.33,29.8,75.8,Satisfactory
0.0,1.9,2.0,50.8,0.87,32.2,61.6,Satisfactory
109.4,213.9,29.8,14.9,1.06,46.1,265.6,Poor
141.5,244.9,116.6,43.9,3.62,139.8,315.2,Very Poor
0.0,3.1,13.3,6.6,0.62,0.0,32.3,Good
74.4,126.2,47.8,24.8,1.3,83.0,145.9,Moderate
66.9,94.6,58.9,45.8,1.52,87.2,128.0,Moderate
131.3,228.5,97.6,31.1,2.25,97.9,315.4,Very Poor
1.7,11.0,14.1,16.9,0.7,0.0,32.4,Good
38.1,92.6,13.5,11.0,0.36,23.7,93.2,Satisfactory
142.2,257.9,87.7,38.1,2.32,112.7,315.5,Very Poor
55.1,124.9,37.6,26.8,1.48,52.8,113.1,Moderate
131.2,206.6,104.5,31.4,2.84,95.5,304.9,Very Poor
104.3,157.4,60.2,22.1,2.14,73.9,245.0,Poor
55.2,78.3,12.3,0.0,0.95,25.3,93.8,Satisfactory
21.1,24.2,6.7,19.8,0.05,38.0,36.7,Good
102.4,152.7,67.0,46.6,1.03,70.8,249.5,Poor
79.4,171.4,26.4,37.3,0.56,56.7,168.1,Moderate
34.9,59.3,41.2,5.5,0.23,40.5,58.7,Satisfactory
63.8,111.2,47.6,30.7,2.16,59.3,114.8,Moderate
53.3,89.6,21.1,17.4,1.75,25.3,92.0,Satisfactory
80.2,137.6,33.4,20.3,2.19,67.8,163.9,Moderate
25.6,60.9,42.9,14.2,2.08,51.5,100.2,Moderate
4.9,3.5,37.1,20.7,0.68,0.0,44.4,Good
103.1,166.3,52.8,19.0,1.51,68.8,246.8,Poor
6.0,13.1,38.1,0.0,1.48,31.9,69.5,Satisfactory
122.4,190.8,80.0,44.2,3.01,106.0,299.0,Poor
39.3,40.2,68.4,28.5,2.02,54.0,95.0,Satisfactory
53.7,63.6,37.0,15.4,1.23,48.4,88.2,Satisfactory
0.0,0.0,17.9,16.8,0.0,40.6,41.0,Good
46.8,77.0,39.8,7.3,1.68,49.7,81.0,Satisfactory
125.2,181.4,47.2,33.1,2.19,57.3,307.4,Very Poor
176.4,286.7,88.3,42.2,3.04,134.1,343.1,Very Poor
47.1,101.1,42.8,17.9,2.03,40.8,102.8,Moderate
0.0,12.4,12.3,19.3,0.93,43.7,50.9,Satisfactory
0.0,12.8,0.0,6.7,0.08,11.4,14.2,Good
35.9,36.6,23.9,27.4,0.7,70.4,74.7,Satisfactory
37.2,44.1,11.2,17.5,0.11,33.2,65.6,Satisfactory
62.5,93.6,41.7,22.5,1.52,33.7,110.7,Moderate
27.2,44.2,53.3,8.1,0.29,45.2,64.7,Satisfactory
2.4,0.0,37.9,11.8,0.23,14.9,48.9,Good
32.2,64.6,25.2,15.6,0.84,49.7,66.0,Satisfactory
11.8,44.5,15.2,11.9,0.57,23.9,45.1,Good
133.3,240.6,75.9,71.5,2.68,98.5,314.4,Very Poor
32.6,79.5,31.0,26.9,1.79,12.3,93.4,Satisfactory
64.8,76.6,28.5,12.3,0.91,46.8,117.9,Moderate
63.9,107.4,37.2,2.6,0.5,55.0,112.6,Moderate
61.6,97.2,44.9,15.1,1.84,32.9,105.0,Moderate
80.7,152.9,100.8,59.6,2.22,119.2,172.0,Moderate
60.3,105.2,13.8,11.5,0.26,0.0,106.5,Moderate
77.9,133.8,50.8,31.7,2.04,71.5,163.1,Moderate
25.1,37.6,0.0,0.0,0.58,6.9,41.3,Good
10.8,42.1,30.9,0.0,0.09,32.0,43.9,Good
0.0,0.0,16.2,23.0,0.02,0.0,28.5,Good
98.6,151.7,41.0,10.0,1.91,61.6,229.3,Poor
37.0,34.4,18.0,0.0,2.2,7.7,103.1,Moderate
6.6,12.6,46.9,18.0,0.77,16.0,63.2,Satisfactory
59.7,95.8,40.5,12.1,0.7,65.0,102.3,Moderate
43.4,74.7,0.0,16.5,0.63,30.6,72.0,Satisfactory
102.4,155.9,39.9,33.6,1.56,72.0,241.3,Poor
54.8,94.8,0.0,8.7,0.81,18.4,92.7,Satisfactory
160.4,323.9,73.6,38.2,2.27,61.6,331.5,Very Poor
60.7,91.7,28.3,22.3,0.92,40.8,105.7,Moderate
40.7,61.4,9.0,7.3,0.37,42.1,65.2,Satisfactory
83.4,155.4,20.1,29.1,1.63,75.4,176.0,Moderate
78.1,127.6,58.4,22.8,0.79,84.3,163.1,Moderate
146.2,241.1,112.3,53.9,2.67,83.8,320.6,Very Poor
125.5,267.3,119.5,26.4,2.85,94.0,298.5,Poor
38.0,55.4,44.8,0.0,1.29,37.0,67.8,Satisfactory
112.7,188.5,69.7,31.1,2.88,139.5,273.9,Poor
54.6,89.6,6.3,12.0,1.2,0.0,95.0,Satisfactory
109.6,191.0,96.0,43.2,2.66,131.8,267.6,Poor
56.4,94.1,18.2,16.2,0.0,15.2,98.9,Satisfactory
136.5,213.1,95.4,53.6,2.24,93.9,312.8,Very Poor
47.4,93.2,58.0,32.3,2.14,45.7,101.3,Moderate
77.9,129.3,68.7,35.6,0.82,71.2,160.3,Moderate
24.6,30.4,10.5,17.8,1.27,42.9,66.0,Satisfactory
12.4,5.6,15.1,0.0,0.65,29.4,34.0,Good
98.5,136.4,37.9,31.3,2.17,74.8,228.4,Poor
75.0,120.5,50.8,26.8,1.57,78.5,149.4,Moderate
89.3,147.4,87.1,29.5,1.45,47.0,193.2,Moderate
12.1,26.2,17.9,0.7,0.45,40.6,40.4,Good
119.6,140.7,49.7,20.6,2.03,20.2,294.3,Poor
107.5,143.8,55.4,12.5,0.96,98.5,256.5,Poor
59.1,124.4,37.7,10.7,1.63,71.7,117.3,Moderate
11.4,28.8,40.8,9.3,0.43,22.8,46.7,Good
78.8,125.4,77.3,29.7,1.82,93.0,160.8,Moderate
132.7,186.4,66.7,68.5,3.37,153.3,309.9,Very Poor
89.0,117.4,13.9,18.1,0.83,94.6,202.2,Poor
51.0,71.9,46.1,20.2,1.93,40.4,96.4,Satisfactory
118.3,226.4,84.7,38.6,2.53,150.7,293.0,Poor
67.0,100.6,85.5,22.5,1.37,68.2,128.4,Moderate
0.0,4.1,43.3,7.3,0.0,2.6,54.8,Satisfactory
13.0,7.3,24.4,0.0,0.0,5.3,34.8,Good
79.4,166.9,42.8,32.9,1.14,104.7,162.2,Moderate
55.9,79.1,55.4,15.1,2.37,82.9,108.7,Moderate
121.4,187.2,91.0,55.3,3.22,113.9,296.5,Poor
45.2,58.9,5.3,24.6,0.1,30.6,76.1,Satisfactory
152.8,259.6,87.5,44.9,2.55,76.3,322.9,Very Poor
0.0,0.0,7.4,6.1,0.56,11.4,24.7,Good
14.0,16.0,35.8,17.6,1.1,26.1,55.7,Satisfactory
38.8,70.3,11.7,5.8,0.89,34.2,75.0,Satisfactory
42.9,66.8,55.8,36.5,1.15,73.9,76.5,Satisfactory
40.7,65.6,32.5,6.0,0.4,32.3,70.2,Satisfactory
90.9,118.5,27.8,22.3,2.12,78.1,202.9,Poor
122.7,166.5,89.6,33.3,2.47,105.7,298.0,Poor
25.2,45.5,14.3,29.8,0.42,40.0,44.0,Good
129.4,233.4,105.9,61.6,2.57,110.8,313.9,Very Poor
40.7,73.2,0.0,16.9,0.53,25.4,72.4,Satisfactory
61.6,88.0,50.8,27.9,1.04,53.7,103.6,Moderate
58.9,64.2,5.9,27.6,0.85,45.0,99.8,Satisfactory
12.3,20.4,27.7,7.5,1.06,27.4,51.1,Satisfactory
68.1,98.8,40.0,29.2,1.51,70.9,132.5,Moderate
132.6,270.3,66.9,39.0,3.0,86.6,316.1,Very Poor
78.3,103.7,42.0,31.0,0.98,108.3,164.9,Moderate
63.3,133.3,31.1,26.1,1.14,15.0,120.2,Moderate
69.0,80.5,61.8,13.1,1.08,24.8,128.2,Moderate
56.1,101.2,46.5,15.0,1.86,51.4,102.8,Moderate
61.9,128.3,41.7,27.3,1.15,22.1,121.9,Moderate
78.1,110.8,57.0,29.3,1.42,70.4,161.9,Moderate
56.7,103.7,14.4,18.4,1.17,31.2,104.1,Moderate
155.5,269.1,89.8,33.6,2.33,121.9,334.7,Very Poor
11.2,6.0,1.9,0.0,1.04,0.0,51.0,Satisfactory
48.5,64.9,13.5,8.1,0.46,34.1,81.4,Satisfactory
79.9,116.0,42.2,17.5,1.14,41.9,163.6,Moderate
95.1,182.0,58.3,40.8,1.75,60.6,217.1,Poor
77.5,128.4,53.4,29.9,3.05,42.4,155.9,Moderate
10.3,0.0,15.7,1.3,0.09,17.8,18.1,Good
84.2,168.6,68.3,28.8,1.48,49.6,179.5,Moderate
88.8,153.4,34.6,40.3,1.35,43.0,194.6,Moderate
67.7,91.8,9.8,0.0,0.43,36.5,126.5,Moderate
9.1,31.8,3.7,6.5,1.03,12.0,51.0,Satisfactory
167.6,245.1,96.6,63.6,2.88,70.3,339.1,Very Poor
34.0,26.7,22.5,6.3,0.67,55.7,54.6,Satisfactory
52.9,77.9,13.1,0.9,1.09,57.5,87.9,Satisfactory
5.3,43.8,0.0,7.5,0.45,27.7,44.5,Good
0.0,21.7,31.1,0.0,0.53,3.1,39.3,Good
117.8,237.5,46.9,27.8,2.24,64.1,290.2,Poor
45.6,78.8,67.4,21.8,1.49,64.7,83.2,Satisfactory
26.4,39.3,0.0,10.9,0.45,18.1,46.6,Good
79.0,135.6,56.5,23.5,1.49,58.6,164.7,Moderate
103.5,178.4,88.5,44.6,2.76,98.1,241.3,Poor
90.5,118.9,51.9,21.5,1.08,74.5,199.8,Moderate
0.0,9.9,48.4,0.7,0.67,53.8,62.9,Satisfactory
12.0,32.7,20.5,0.9,0.0,0.0,35.7,Good
114.4,193.8,102.4,44.4,3.09,102.3,280.5,Poor
92.3,164.1,61.2,37.1,1.51,54.7,211.6,Poor
